Country,Region,Life_Expectancy
Belgium,Western Europe,80.79512195
Germany,Western Europe,80.94146341
Denmark,Northern Europe,81.55121951
Finland,Northern Europe,82.13170732
France,Western Europe,82.17560976
Faroe Islands,Northern Europe,83.09268293
United Kingdom,Western Europe,80.90243902
Ireland,Western Europe,82.20487805
Iceland,Northern Europe,83.06585366
Luxembourg,Western Europe,81.74146341
Netherlands,Western Europe,81.4097561
Norway,Northern Europe,83.2097561
Sweden,Northern Europe,82.40731707
